"ID","AVAM_CODE_OLD","AVAM_CODE_NEW","BFS_CODE_NEW","CHISCO3_CODE","CHISCO5_CODE","DESCRIPTION"
"d07a323a-982a-4486-8c81-ad8864ae9f4a","63947","101544","51101090","311","31190","Werkstofftechniker"
"1108f34a-e88d-4c8a-8735-29f61ae46dcc","62120","101544","51101090","311","31190","Werkstofftechniker"
"bd5b46e6-6eda-4108-b28b-ed037f70e0ad","48030","101544","51101090","311","31190","Werkstofftechniker"
"c040451a-ca3e-4933-8a6d-c8f390747f94","66531","101546","51102347","311","31190","Energie- und Effizienzberater"
"65601b3a-b1ef-4d2e-a11f-7595e4e88038","80507","101547","51102958","311","31190","Techno-Polygraf"
"6c98403a-00bd-4769-aa62-b42d663a409e","34710","101547","51102958","311","31190","Techno-Polygraf"
"9acb4b76-c8c4-4265-a9c2-d55121e41012","34203","101547","51102958","311","31190","Techno-Polygraf"
"c426ff70-1e5e-48cc-9ea9-60f1fa8a78bf","35741","101547","51102958","311","31190","Techno-Polygraf"
"8376fbe5-f425-4d54-948e-49c6841cf66f","25705","101548","51102964","311","31190","Techniker, Textil"
"239b6cf9-4e81-4052-a8c7-fa636f869fc6","25703","101548","51102964","311","31190","Techniker, Textil"
"f6ceb67e-f59d-422d-883d-6a8f480b809d","63904","101548","51102964","311","31190","Techniker, Textil"
"ac7da87f-6c7e-490c-8756-553d7fe40055","63800","101548","51102964","311","31190","Techniker, Textil"
"6f88e694-e286-4fe4-a9a5-6167d7476442","63801","101548","51102964","311","31190","Techniker, Textil"
"f32bd9db-826c-4ae5-a8bb-f25222d7b88f","63802","101548","51102964","311","31190","Techniker, Textil"
"db0e8b46-cc54-44c1-b60b-2a20cadf8b41","63804","101548","51102964","311","31190","Techniker, Textil"
"b8a509b3-77e1-40b1-8db8-48c5782cd0d7","63805","101548","51102964","311","31190","Techniker, Textil"
"673cdd7d-f0f2-4edb-b03f-dbf14dd938f6","63806","101548","51102964","311","31190","Techniker, Textil"
"cb036ee7-8c52-428b-ac7f-7b589f19141a","63808","101548","51102964","311","31190","Techniker, Textil"
"5ee03a09-efc9-4571-b84d-7bd2eeaccae2","65710","101553","51103531","311","31190","Process Manager"
"737aaf89-87c4-4292-b2a7-f832606819b1","15123","101553","51103531","311","31190","Process Manager"
"e7852643-4e51-4102-ac73-b3d75f24e17c","47931","101555","25405002","312","31220","Montageleiter"
"cf593254-ae93-47e0-a79a-70d65f50820a","47903","101555","25405002","312","31220","Montageleiter"
"cc876274-6cb4-4abc-9fc5-a51340bb598e","40527","101556","29403006","312","31220","Werkmeister"
"8e2f16f6-0e38-4338-8184-a0602803ac15","65200","101556","29403006","312","31220","Werkmeister"
